customer_id,customer_name,email,phone,age,city,state,country,income,segment,signup_date,income_category
133206,Amit Khan,amit.khan7418@example.com,9699933942.0,40.0,Bengaluru,Karnataka,India,247682.0,Consumer,2021-03-10,Very High
118976,Karan Gupta,karan.gupta7929@example.com,9290083284.0,21.0,Delhi,Delhi,India,116467.0,Consumer,2021-11-08,High
113491,Anjali Verma,anjali.verma4323@example.com,9921892342.0,59.0,Surat,Gujarat,India,193051.0,Small Business,2022-04-12,Very High
124175,Suresh Verma,suresh.verma4113@example.com,9659545983.0,44.0,Pune,Maharashtra,India,36112.0,Consumer,2025-12-23,Medium
132270,Rohan Nair,rohan.nair9082@example.com,9135826494.0,28.0,Kolkata,West Bengal,India,38645.0,Consumer,2023-06-30,Medium
107656,Vikram Malhotra,vikram.malhotra6278@example.com,9274954462.0,45.0,Delhi,Delhi,India,164655.0,Small Business,2022-12-17,Very High
117146,Raj Kapoor,raj.kapoor8298@example.com,9251070586.0,48.0,Pune,Maharashtra,India,23920.0,Small Business,2023-10-27,Low
139081,Simran Singh,simran.singh5447@example.com,9943982290.0,32.0,Delhi,Delhi,India,189669.0,Small Business,2023-04-24,Very High
118817,Anjali Kapoor,anjali.kapoor2182@example.com,9408989418.0,38.0,Bengaluru,Karnataka,India,58118.0,Corporate,2024-07-23,Medium
137559,Nisha Malhotra,nisha.malhotra4581@example.com,9951970468.0,65.0,Ahmedabad,Gujarat,India,109088.0,Corporate,2023-04-13,High
107280,Karan Sharma,karan.sharma3752@example.com,9275890315.0,68.0,Delhi,Delhi,India,106586.0,Small Business,2025-12-19,High
128919,Vikram Desai,vikram.desai7215@example.com,9173182278.0,48.0,Ahmedabad,Gujarat,India,27277.0,Consumer,2024-10-21,Low
149190,Kavya Desai,kavya.desai6893@example.com,9992522351.0,41.0,Delhi,Delhi,India,118629.0,Small Business,2022-11-12,High
123496,Neha Patel,neha.patel9884@example.com,9623386947.0,33.0,Bengaluru,Karnataka,India,223399.0,Consumer,2021-12-11,Very High
113055,Sneha Gupta,sneha.gupta9655@example.com,9421571385.0,61.0,Pune,Maharashtra,India,77629.0,Corporate,2025-04-18,High
120337,Simran Gupta,simran.gupta4068@example.com,9519371905.0,68.0,Delhi,Delhi,India,193041.0,Small Business,2025-11-08,Very High
115442,Neha Verma,neha.verma8638@example.com,9148097011.0,68.0,Mumbai,Maharashtra,India,23858.0,Small Business,2021-11-21,Low
135616,Raj Kapoor,raj.kapoor1482@example.com,9704763413.0,66.0,Bengaluru,Karnataka,India,188624.0,Corporate,2021-10-26,Very High
