customer_id,customer_name,email,phone,age,city,state,country,income,segment,signup_date
133206,Amit Khan,amit.khan7418@example.com,9699933942,40.0,Bengaluru,Karnataka,India,247682.0,Consumer,2021-03-10
118976,Karan Gupta,karan.gupta7929@example.com,9290083284,21.0,Delhi,Delhi,India,116467.0,Consumer,2021-11-08
113491,Anjali Verma,anjali.verma4323@example.com,9921892342,59.0,Surat,Gujarat,India,193051.0,Small Business,2022-04-12
124175,Suresh Verma,suresh.verma4113@example.com,9659545983,44.0,Pune,Maharashtra,India,36112.0,Consumer,2025-12-23
132270,Rohan Nair,rohan.nair9082@example.com,9135826494,28.0,Kolkata,West Bengal,India,38645.0,Consumer,2023-06-30
107656,Vikram Malhotra,vikram.malhotra6278@example.com,9274954462,45.0,Delhi,Delhi,India,164655.0,Small Business,2022-12-17
117146,Raj Kapoor,raj.kapoor8298@example.com,9251070586,48.0,Pune,Maharashtra,India,23920.0,Small Business,2023-10-27
139081,Simran Singh,simran.singh5447@example.com,9943982290,32.0,Delhi,Delhi,India,189669.0,Small Business,2023-04-24
118817,Anjali Kapoor,anjali.kapoor2182@example.com,9408989418,38.0,Bengaluru,Karnataka,India,58118.0,Corporate,2024-07-23
137559,Nisha Malhotra,nisha.malhotra4581@example.com,9951970468,65.0,Ahmedabad,Gujarat,India,109088.0,Corporate,2023-04-13
107280,Karan Sharma,karan.sharma3752@example.com,9275890315,68.0,Delhi,Delhi,India,106586.0,Small Business,2025-12-19
128919,Vikram Desai,vikram.desai7215@example.com,9173182278,48.0,Ahmedabad,Gujarat,India,27277.0,Consumer,2024-10-21
149190,Kavya Desai,kavya.desai6893@example.com,9992522351,41.0,Delhi,Delhi,India,118629.0,Small Business,2022-11-12
123496,  Neha Patel ,neha.patel9884@example.com,9623386947,33.0,Bengaluru,Karnataka,India,223399.0,Consumer,2021-12-11
113055,Sneha Gupta,sneha.gupta9655@example.com,9421571385,61.0,Pune,Maharashtra,India,77629.0,Corporate,2025-04-18
120337,Simran Gupta,simran.gupta4068@example.com,9519371905,68.0,Delhi,Delhi,India,193041.0,Small Business,2025-11-08
115442,Neha Verma,neha.verma8638@example.com,9148097011,68.0,Mumbai,Maharashtra,India,23858.0,Small Business,2021-11-21
135616,Raj Kapoor,raj.kapoor1482@example.com,9704763413,66.0,Bengaluru,Karnataka,India,188624.0,Corporate,2021-10-26
130778,Aditya Patel,aditya.patel9406@example.com,,29.0,Jaipur,Rajasthan,India,170150.0,Small Business,2023-11-13
145859,Raj Khan,raj.khan3461@example.com,9507937799,38.0,Mumbai,Maharashtra,India,149506.0,Consumer,2021-05-22
112081,  Rohan Desai ,rohan.desai5281@example.com,9128179371,34.0,Surat,Gujarat,India,189629.0,Small Business,2021-01-04
110133,Isha Verma,isha.verma2698@example.com,9968276264,65.0,Mumbai,Maharashtra,India,206438.0,Corporate,2025-10-22
100931,Karan Singh,karan.singh6540@example.com,9694556133,65.0,Delhi,Delhi,India,59882.0,Small Business,2025-01-01
118258,Sneha Joshi,sneha.joshi3626@example.com,9985764999,31.0,Jaipur,Rajasthan,India,70434.0,Consumer,2023-11-16
139614,Neha Singh,neha.singh2587@example.com,9320245782,52.0,Surat,Gujarat,India,,Corporate,2026-02-13
118866,Meera Verma,meera.verma1512@example.com,9170617242,51.0,Surat,Gujarat,India,21634.0,Consumer,2024-07-09
113249,Aditya Khan,aditya.khan5697@example.com,9572263482,41.0,Bengaluru,Karnataka,India,212031.0,Small Business,2023-05-10
132492,Vikram Kapoor,vikram.kapoor5811@example.com,9242081865,54.0,Surat,Gujarat,India,191597.0,Consumer,2026-02-12
123428,Anjali Kapoor,anjali.kapoor6207@example.com,9664582651,22.0,Mumbai,Maharashtra,India,231181.0,Small Business,2025-10-24
141760,Arjun Shah,arjun.shah91@example.com,9995347950,37.0,Delhi,Delhi,India,54613.0,Corporate,2022-03-16
134261,Neha Iyer,neha.iyer5430@example.com,9817133930,57.0,Delhi,Delhi,India,70229.0,Corporate,2026-04-16
124655,Raj Shah,raj.shah132@example.com,9849185634,44.0,Ahmedabad,Gujarat,India,249249.0,Small Business,2022-08-30
138295,Meera Nair,meera.nair3145@example.com,9946407997,58.0,Chennai,Tamil Nadu,India,230619.0,Small Business,2023-07-06
144864,Simran Patel,simran.patel6296@example.com,9808852689,59.0,Surat,Gujarat,India,18182.0,Small Business,2022-06-05
113139,Kavya Khan,kavya.khan2000@example.com,9562046155,59.0,Surat,Gujarat,India,77919.0,Consumer,2026-02-07
118884,Manish Malhotra,manish.malhotra2270@example.com,9268676813,30.0,Delhi,Delhi,India,230088.0,Small Business,2024-12-21
125125,Simran Kapoor,simran.kapoor6478@example.com,9226938018,53.0,Jaipur,Rajasthan,India,163887.0,Small Business,2025-04-10
119578,Arjun Mehta,arjun.mehta8157@example.com,9900757958,68.0,Hyderabad,Telangana,India,0.0,Corporate,2022-09-26
122880,Raj Singh,raj.singh9477@example.com,9959930763,58.0,Hyderabad,Telangana,India,65413.0,Consumer,2024-03-02
109489,Meera Gupta,meera.gupta2426@example.com,9596255643,29.0,Pune,Maharashtra,India,148646.0,Corporate,2026-02-20
101197,Suresh Desai,suresh.desai2211@example.com,9997334996,21.0,Mumbai,Maharashtra,India,100404.0,Consumer,2021-08-24
119621,Kavya Joshi,kavya.joshi1111@example.com,9255774308,34.0,Jaipur,Rajasthan,India,144105.0,Small Business,2024-04-25
114750,Karan Patel,karan.patel4436@example.com,9645596504,18.0,Pune,Maharashtra,India,187333.0,Consumer,2024-11-29
113336,Pooja Malhotra,pooja.malhotra8462@example.com,9561687948,25.0,Hyderabad,Telangana,India,78133.0,Consumer,2023-07-28
110958,Meera Reddy,meera.reddy252@example.com,9417658778,46.0,Kolkata,West Bengal,India,48287.0,Corporate,2022-08-22
107788,Karan Singh,karan.singh2544@example.com,9764370943,66.0,Jaipur,Rajasthan,India,158110.0,Corporate,2021-06-14
122577,Manish Gupta,manish.gupta3059@example.com,9980686444,30.0,Kolkata,West Bengal,India,45815.0,Small Business,2026-05-30
109580,Nisha Shah,nisha.shah7290@example.com,9631841872,18.0,Jaipur,Rajasthan,India,218499.0,Consumer,2025-04-06
115636,Nisha Patel,nisha.patel1173@example.com,9780770596,59.0,Delhi,Delhi,India,174450.0,Consumer,2024-10-26
134169,Vikram Reddy,vikram.reddy6510@example.com,9420990449,29.0,Kolkata,West Bengal,India,95711.0,Small Business,2023-03-05
125412,Raj Sharma,raj.sharma9009@example.com,9614737335,33.0,Kolkata,West Bengal,India,224432.0,Corporate,2023-01-24
120861,Sneha Iyer,sneha.iyer2263@example.com,9368596309,65.0,Surat,Gujarat,India,218125.0,Small Business,2022-05-15
107123,Aditya Desai,aditya.desai217@example.com,9413335644,64.0,Hyderabad,Telangana,India,77056.0,Corporate,2021-05-22
134694,Nisha Shah,nisha.shah2914@example.com,9963727682,31.0,Chennai,Tamil Nadu,India,240088.0,Consumer,2022-05-10
146175,Suresh Singh,suresh.singh9367@example.com,9313043158,51.0,Mumbai,Maharashtra,India,133923.0,Consumer,2024-12-20
107225,Karan Sharma,karan.sharma5201@example.com,9796865351,32.0,Bengaluru,Karnataka,India,218413.0,Consumer,2023-02-01
140661,Manish Verma,,9485117626,40.0,Jaipur,Rajasthan,India,48880.0,Corporate,2022-01-12
100257,Nisha Desai,nisha.desai6556@example.com,9272716567,50.0,Ahmedabad,Gujarat,India,208390.0,Consumer,2025-02-26
147983,Rahul Shah,rahul.shah5809@example.com,9208954162,55.0,Delhi,Delhi,India,144588.0,Corporate,2023-05-26
130465,Arjun Kapoor,arjun.kapoor8378@example.com,9132532705,19.0,Pune,Maharashtra,India,192416.0,Consumer,2022-07-19
118929,Anjali Singh,anjali.singh9966@example.com,9235514218,60.0,Chennai,Tamil Nadu,India,154841.0,Small Business,2024-01-14
148391,Nisha Desai,nisha.desai7678@example.com,9401679729,56.0,Ahmedabad,Gujarat,India,150410.0,Consumer,2023-05-24
104876,Nisha Shah,nisha.shah6926@example.com,9299534567,51.0,Pune,Maharashtra,India,180171.0,Corporate,2023-09-28
112105,Priya Nair,priya.nair4860@example.com,9710421513,29.0,Mumbai,Maharashtra,India,203281.0,Corporate,2024-06-11
116805,Nisha Nair,nisha.nair4697@example.com,9277435968,53.0,Delhi,Delhi,India,143413.0,Consumer,2025-07-05
126678,Suresh Kapoor,suresh.kapoor4667@example.com,9545787523,22.0,Jaipur,Rajasthan,India,247343.0,Consumer,2023-07-22
141947,Kavya Nair,kavya.nair2546@example.com,9985543389,37.0,Surat,Gujarat,India,72150.0,Consumer,2022-02-28
134053,Rahul Nair,rahul.nair7110@example.com,9624002675,47.0,Mumbai,Maharashtra,India,245679.0,Corporate,2024-01-25
109608,Pooja Iyer,pooja.iyer6407@example.com,9385505621,23.0,Pune,Maharashtra,India,68744.0,Corporate,2025-12-20
111632,Kavya Kapoor,kavya.kapoor8743@example.com,9437415201,64.0,Hyderabad,Telangana,India,131401.0,Consumer,2025-01-20
130360,Arjun Reddy,arjun.reddy5151@example.com,9492266444,53.0,Bengaluru,Karnataka,India,189608.0,Consumer,2023-07-24
141934,Aditya Malhotra,aditya.malhotra1766@example.com,9618474600,45.0,Hyderabad,Telangana,India,178926.0,Small Business,2022-03-28
130152,Aditya Desai,aditya.desai775@example.com,9393241640,55.0,Kolkata,West Bengal,India,130688.0,Corporate,2024-10-02
